Latitude,Longitude,Elevation,Name
1378023.4196384102,431812.62177879276,-4.741,Channel 0
1378029.3571914404,431814.40299848974,-4.823507575757575,Channel 1
1378035.2947444709,431816.1842181867,-4.9060151515151516,Channel 2
1378041.232297501,431817.9654378837,-4.988522727272727,Channel 3
1378047.1698505315,431819.74665758066,-5.0710303030303026,Channel 4
1378053.1074035617,431821.52787727764,-5.153537878787878,Channel 5
1378059.044956592,431823.30909697455,-5.2360454545454544,Channel 6
1378064.9825096224,431825.0903166715,-5.31855303030303,Channel 7
1378070.9200626526,431826.8715363685,-5.4010606060606055,Channel 8
1378076.857615683,431828.6527560655,-5.483568181818182,Channel 9
1378082.7951687132,431830.43397576245,-5.566075757575757,Channel 10
1378088.7327217436,431832.21519545943,-5.648583333333333,Channel 11
1378094.6702747738,431833.9964151564,-5.731090909090908,Channel 12
1378100.607827804,431835.7776348534,-5.813598484848485,Channel 13
1378106.5453808345,431837.55885455036,-5.89610606060606,Channel 14
1378112.4829338647,431839.34007424733,-5.978613636363636,Channel 15
1378118.4204868951,431841.12129394425,-6.061121212121211,Channel 16
1378124.3580399253,431842.9025136412,-6.143628787878788,Channel 17
1378130.2955929558,431844.6837333382,-6.226136363636363,Channel 18
1378136.233145986,431846.4649530352,-6.308643939393939,Channel 19
1378142.1706990162,431848.24617273215,-6.391151515151515,Channel 20
1378148.1082520466,431850.0273924291,-6.4736590909090905,Channel 21
1378154.0458050768,431851.8086121261,-6.556166666666666,Channel 22
1378159.9833581073,431853.5898318231,-6.638674242424242,Channel 23
1378165.9209111375,431855.37105152005,-6.721181818181818,Channel 24
1378171.8584641677,431857.152271217,-6.803689393939393,Channel 25
1378177.7960171981,431858.93349091394,-6.88619696969697,Channel 26
1378183.7335702283,431860.7147106109,-6.968704545454544,Channel 27
1378189.6711232588,431862.4959303079,-7.051212121212121,Channel 28
1378195.608676289,431864.27715000487,-7.133719696969696,Channel 29
1378201.5462293192,431866.05836970184,-7.216227272727272,Channel 30
1378207.4837823496,431867.8395893988,-7.298734848484848,Channel 31
1378213.4213353798,431869.6208090958,-7.381242424242424,Channel 32
1378219.3588884103,431871.40202879277,-7.463749999999999,Channel 33
1378225.2964414405,431873.18324848975,-7.546257575757576,Channel 34
1378231.233994471,431874.9644681867,-7.628765151515151,Channel 35
1378237.171547501,431876.74568788364,-7.711272727272727,Channel 36
1378243.1091005313,431878.5269075806,-7.793780303030303,Channel 37
1378249.0466535618,431880.3081272776,-7.876287878787878,Channel 38
1378254.984206592,431882.08934697456,-7.958795454545454,Channel 39
1378260.9217596224,431883.87056667154,-8.04130303030303,Channel 40
1378266.8593126526,431885.6517863685,-8.123810606060605,Channel 41
1378272.796865683,431887.4330060655,-8.206318181818181,Channel 42
1378278.7344187133,431889.21422576247,-8.288825757575758,Channel 43
1378284.6719717435,431890.99544545944,-8.371333333333332,Channel 44
1378290.609524774,431892.7766651564,-8.453840909090909,Channel 45
1378296.547077804,431894.55788485333,-8.536348484848485,Channel 46
1378302.4846308345,431896.3391045503,-8.61885606060606,Channel 47
1378308.4221838647,431898.1203242473,-8.701363636363636,Channel 48
1378314.359736895,431899.90154394426,-8.783871212121213,Channel 49
1378320.2972899254,431901.68276364123,-8.866378787878787,Channel 50
1378326.2348429556,431903.4639833382,-8.948886363636362,Channel 51
1378332.172395986,431905.2452030352,-9.03139393939394,Channel 52
1378338.1099490162,431907.02642273216,-9.113901515151515,Channel 53
1378344.0475020465,431908.80764242914,-9.19640909090909,Channel 54
1378349.985055077,431910.5888621261,-9.278916666666666,Channel 55
1378355.922608107,431912.370081823,-9.361424242424242,Channel 56
1378361.8601611375,431914.15130152,-9.443931818181817,Channel 57
1378367.7977141677,431915.932521217,-9.526439393939393,Channel 58
1378373.7352671982,431917.71374091395,-9.60894696969697,Channel 59
1378379.6728202284,431919.49496061093,-9.691454545454544,Channel 60
1378385.6103732586,431921.2761803079,-9.77396212121212,Channel 61
1378391.547926289,431923.0574000049,-9.856469696969697,Channel 62
1378397.4854793192,431924.83861970186,-9.938977272727271,Channel 63
1378403.4230323497,431926.61983939883,-10.021484848484848,Channel 64
1378409.3605853799,431928.4010590958,-10.103992424242424,Channel 65
1378415.2981384103,431930.1822787927,-10.186499999999999,Channel 66
1378421.2356914405,431931.9634984897,-10.269007575757575,Channel 67
1378427.1732444707,431933.7447181867,-10.351515151515152,Channel 68
1378433.1107975012,431935.52593788365,-10.434022727272726,Channel 69
1378439.0483505314,431937.3071575806,-10.516530303030303,Channel 70
1378444.9859035618,431939.0883772776,-10.599037878787879,Channel 71
1378450.923456592,431940.8695969746,-10.681545454545454,Channel 72
1378456.8610096222,431942.65081667155,-10.76405303030303,Channel 73
1378462.7985626527,431944.4320363685,-10.846560606060606,Channel 74
1378468.7361156829,431946.2132560655,-10.929068181818181,Channel 75
1378474.6736687133,431947.9944757625,-11.011575757575756,Channel 76
1378480.6112217435,431949.7756954594,-11.094083333333334,Channel 77
1378486.5487747737,431951.55691515637,-11.176590909090908,Channel 78
1378492.4863278042,431953.33813485334,-11.259098484848483,Channel 79
1378498.4238808344,431955.1193545503,-11.34160606060606,Channel 80
1378504.3614338648,431956.9005742473,-11.424113636363636,Channel 81
1378510.298986895,431958.68179394427,-11.50662121212121,Channel 82
1378516.2365399254,431960.46301364125,-11.589128787878787,Channel 83
1378522.1740929557,431962.2442333382,-11.671636363636363,Channel 84
1378528.1116459859,431964.0254530352,-11.754143939393938,Channel 85
1378534.0491990163,431965.8066727322,-11.836651515151514,Channel 86
1378539.9867520465,431967.5878924291,-11.91915909090909,Channel 87
1378545.924305077,431969.36911212606,-12.001666666666665,Channel 88
1378551.8618581071,431971.15033182304,-12.084174242424242,Channel 89
1378557.7994111376,431972.93155152,-12.166681818181818,Channel 90
1378563.7369641678,431974.712771217,-12.249189393939393,Channel 91
1378569.674517198,431976.49399091396,-12.331696969696969,Channel 92
1378575.6120702284,431978.27521061094,-12.414204545454545,Channel 93
1378581.5496232586,431980.0564303079,-12.49671212121212,Channel 94
1378587.487176289,431981.8376500049,-12.579219696969696,Channel 95
1378593.4247293193,431983.61886970187,-12.661727272727273,Channel 96
1378599.3622823495,431985.4000893988,-12.744234848484847,Channel 97
1378605.29983538,431987.18130909576,-12.826742424242424,Channel 98
1378611.2373884101,431988.96252879273,-12.909249999999998,Channel 99
1378617.1749414406,431990.7437484897,-12.991757575757575,Channel 100
1378623.1124944708,431992.5249681867,-13.074265151515151,Channel 101
1378629.050047501,431994.30618788366,-13.156772727272726,Channel 102
1378634.9876005314,431996.08740758064,-13.239280303030302,Channel 103
1378640.9251535616,431997.8686272776,-13.321787878787879,Channel 104
1378646.862706592,431999.6498469746,-13.404295454545453,Channel 105
1378652.8002596223,432001.43106667156,-13.48680303030303,Channel 106
1378658.7378126527,432003.2122863685,-13.569310606060606,Channel 107
1378664.675365683,432004.99350606545,-13.65181818181818,Channel 108
1378670.6129187131,432006.7747257624,-13.734325757575757,Channel 109
1378676.5504717436,432008.5559454594,-13.816833333333332,Channel 110
1378682.4880247738,432010.3371651564,-13.899340909090908,Channel 111
1378688.4255778042,432012.11838485335,-13.981848484848484,Channel 112
1378694.3631308344,432013.89960455033,-14.064356060606059,Channel 113
1378700.3006838649,432015.6808242473,-14.146863636363635,Channel 114
1378706.238236895,432017.4620439443,-14.229371212121212,Channel 115
1378712.1757899253,432019.24326364126,-14.311878787878786,Channel 116
1378718.1133429557,432021.0244833382,-14.394386363636363,Channel 117
